B2Reft2,B3Reft3,B4Reft4,B5Reft5,B6Reft6,B7Reft7,Area,SoilTeam,LandClass,Phosphorus,Potassium,Boron,Calcium,Magnesium,Manganese
0.55,0.55,0.55,0.55,0.55,0.55,Rangpur Sadar,Loam,MEL,0.009,0.09,0.00035,0.74,0.35,0.02
0.56,0.56,0.56,0.56,0.56,0.56,Rangpur Sadar,Loam,MEL,0.007,0.09,0.00027,0.93,0.4,0.02
0.57,0.57,0.57,0.57,0.57,0.57,Rangpur Sadar,Loam,MEL,0.006,0.07,0.00027,0.65,0.35,0.018
0.57,0.57,0.57,0.57,0.57,0.57,Rangpur Sadar,Loam,MEL,0.014,0.1,0.00026,0.8,0.4,0.012
0.58,0.58,0.58,0.58,0.58,0.58,Rangpur Sadar,Loam,MEL,0.01,0.12,0.0002,0.92,0.4,0.022
0.59,0.59,0.59,0.59,0.59,0.59,Rangpur Sadar,Loam,MEL,0.007,0.1,0.00024,0.95,0.41,0.02
0.60,0.60,0.60,0.60,0.60,0.60,Rangpur Sadar,Loam,MEL,0.01,0.09,0.00016,0.97,0.4,0.02
0.60,0.60,0.60,0.60,0.60,0.60,Rangpur Sadar,Loam,MEL,0.025,0.1,0.00024,0.98,0.41,0.022
0.61,0.61,0.61,0.61,0.61,0.61,Rangpur Sadar,Loam,MEL,0.01,0.09,0.0002,0.97,0.37,0.02
0.62,0.62,0.62,0.62,0.62,0.62,Rangpur Sadar,Loam,MEL,0.012,0.1,0.00028,0.99,0.38,0.022
0.63,0.63,0.63,0.63,0.63,0.63,Rangpur Sadar,Loam,MEL,0.01,0.1,0.00016,0.99,0.39,0.022
0.63,0.63,0.63,0.63,0.63,0.63,Rangpur Sadar,Loam,MEL,0.015,0.09,0.00012,0.99,0.21,0.014
0.64,0.64,0.64,0.64,0.64,0.64,Rangpur Sadar,Loam,MEL,0.025,0.09,0.0002,0.7,0.27,0.015
0.65,0.65,0.65,0.65,0.65,0.65,Rangpur Sadar,Loam,MEL,0.007,0.06,0.00016,0.9,0.4,0.012
0.66,0.66,0.66,0.66,0.66,0.66,Rangpur Sadar,Loam,MEL,0.007,0.08,0.0002,0.94,0.42,0.018
0.66,0.66,0.66,0.66,0.66,0.66,Rangpur Sadar,Loam,MEL,0.006,0.07,0.00016,0.97,0.44,0.014
0.67,0.67,0.67,0.67,0.67,0.67,Rangpur Sadar,Loam,MEL,0.007,0.09,0.0002,0.97,0.32,0.02
0.68,0.68,0.68,0.68,0.68,0.68,Rangpur Sadar,Loam,MEL,0.012,0.09,0.00012,0.94,0.26,0.019
0.69,0.69,0.69,0.69,0.69,0.69,Rangpur Sadar,Loam,MEL,0.006,0.1,0.00032,0.9,0.42,0.016
0.69,0.69,0.69,0.69,0.69,0.69,Rangpur Sadar,Loam,MEL,0.007,0.1,0.00044,0.98,0.51,0.013
0.70,0.70,0.70,0.70,0.70,0.70,Rangpur Sadar,Loam,MEL,0.007,0.07,0.00024,1.55,0.55,0.023
0.71,0.71,0.71,0.71,0.71,0.71,Rangpur Sadar,Loam,MEL,0.007,0.09,0.00028,1.01,0.47,0.022
0.72,0.72,0.72,0.72,0.72,0.72,Rangpur Sadar,Loam,MEL,0.006,0.08,0.00028,1.1,0.32,0.024
0.72,0.72,0.72,0.72,0.72,0.72,Rangpur Sadar,Loam,MEL,0.01,0.07,0.0001,0.9,0.4,0.024
0.73,0.73,0.73,0.73,0.73,0.73,Rangpur Sadar,Loam,MEL,0.007,0.07,0.00021,0.98,0.37,0.024
0.74,0.74,0.74,0.74,0.74,0.74,Rangpur Sadar,Loam,MEL,0.008,0.1,0.00042,0.99,0.5,0.022
0.75,0.75,0.75,0.75,0.75,0.75,Rangpur Sadar,Loam,MEL,0.015,0.15,0.00021,0.95,0.42,0.02
0.75,0.75,0.75,0.75,0.75,0.75,Rangpur Sadar,Loam,MEL,0.016,0.11,0.00049,0.99,0.29,0.02
0.76,0.76,0.76,0.76,0.76,0.76,Rangpur Sadar,Loam,MEL,0.02,0.15,0.00021,0.99,0.32,0.022
0.77,0.77,0.77,0.77,0.77,0.77,Rangpur Sadar,Loam,MEL,0.014,0.1,0.00042,1.1,0.3,0.012
0.78,0.78,0.78,0.78,0.78,0.78,Rangpur Sadar,Loam,MEL,0.016,0.1,0.00014,0.94,0.29,0.025
0.78,0.78,0.78,0.78,0.78,0.78,Rangpur Sadar,Loam,MEL,0.013,0.11,0.00014,0.94,0.3,0.026
0.79,0.79,0.79,0.79,0.79,0.79,Rangpur Sadar,Loam,MEL,0.022,0.11,0.00021,0.78,0.28,0.026
0.80,0.80,0.80,0.80,0.80,0.80,Rangpur Sadar,Loam,MEL,0.018,0.07,0.00014,0.7,0.19,0.028
0.81,0.81,0.81,0.81,0.81,0.81,Rangpur Sadar,Loam,MEL,0.01,0.09,0.00028,0.98,0.4,0.022
0.81,0.81,0.81,0.81,0.81,0.81,Rangpur Sadar,Loam,MEL,0.009,0.11,0.00021,0.99,0.42,0.022
0.82,0.82,0.82,0.82,0.82,0.82,Rangpur Sadar,Loam,MEL,0.006,0.12,0.00016,0.92,0.4,0.022
0.83,0.83,0.83,0.83,0.83,0.83,Rangpur Sadar,Loam,MEL,0.006,0.08,0.0002,0.98,0.44,0.022
0.84,0.84,0.84,0.84,0.84,0.84,Rangpur Sadar,Loam,MEL,0.006,0.12,0.00024,0.98,0.39,0.016
0.84,0.84,0.84,0.84,0.84,0.84,Rangpur Sadar,Loam,MEL,0.016,0.12,0.0002,0.9,0.42,0.016
0.85,0.85,0.85,0.85,0.85,0.85,Rangpur Sadar,Loam,MEL,0.01,0.08,0.00028,0.88,0.38,0.016
0.86,0.86,0.86,0.86,0.86,0.86,Rangpur Sadar,Loam,MEL,0.007,0.02,0.0002,0.9,0.4,0.017
0.87,0.87,0.87,0.87,0.87,0.87,Rangpur Sadar,Loam,MEL,0.008,0.09,0.00024,0.98,0.44,0.02
0.87,0.87,0.87,0.87,0.87,0.87,Rangpur Sadar,Loam,MEL,0.008,0.09,0.0002,0.92,0.43,0.016
0.88,0.88,0.88,0.88,0.88,0.88,Rangpur Sadar,Loam,MEL,0.007,0.09,0.0002,0.95,0.41,0.016
0.89,0.89,0.89,0.89,0.89,0.89,Rangpur Sadar,Loam,MEL,0.007,0.07,0.00024,0.99,0.44,0.012
0.90,0.90,0.90,0.90,0.90,0.90,Rangpur Sadar,Loam,MEL,0.007,0.14,0.00012,0.98,0.24,0.016
0.90,0.90,0.90,0.90,0.90,0.90,Rangpur Sadar,Loam,MEL,0.007,0.08,0.0002,0.94,0.42,0.018
0.91,0.91,0.91,0.91,0.91,0.91,Rangpur Sadar,Loam,MEL,0.006,0.1,0.00028,1.05,0.5,0.017
0.92,0.92,0.92,0.92,0.92,0.92,Rangpur Sadar,Loam,MEL,0.006,0.1,0.00036,1,0.6,0.016
0.93,0.93,0.93,0.93,0.93,0.93,Rangpur Sadar,Loam,MEL,0.009,0.08,0.0002,0.9,0.32,0.015
0.93,0.93,0.93,0.93,0.93,0.93,Rangpur Sadar,Loam,MEL,0.006,0.08,0.00024,0.98,0.44,0.017
0.94,0.94,0.94,0.94,0.94,0.94,Rangpur Sadar,EthelLoam,MEL,0.013,0.12,0.00028,0.99,0.22,0.016
0.95,0.95,0.95,0.95,0.95,0.95,Rangpur Sadar,EthelLoam,MEL,0.006,0.1,0.0002,0.99,0.39,0.015
0.96,0.96,0.96,0.96,0.96,0.96,Rangpur Sadar,EthelLoam,MEL,0.007,0.1,0.00042,0.97,0.47,0.01
0.96,0.96,0.96,0.96,0.96,0.96,Rangpur Sadar,EthelLoam,MLL,0.008,0.1,0.00036,0.99,0.52,0.012
0.97,0.97,0.97,0.97,0.97,0.97,Rangpur Sadar,EthelLoam,MLL,0.01,0.07,0.00042,0.9,0.48,0.012
0.98,0.98,0.98,0.98,0.98,0.98,Rangpur Sadar,Loam,MEL,0.01,0.08,0.00028,1.04,0.46,0.013
0.99,0.99,0.99,0.99,0.99,0.99,Rangpur Sadar,Loam,MLL,0.006,0.08,0.00024,0.92,0.32,0.012
0.99,0.99,0.99,0.99,0.99,0.99,Rangpur Sadar,Loam,MLL,0.006,0.06,0.00018,0.95,0.3,0.015
0.00,0.00,0.00,0.00,0.00,0.00,Saidpur,EthelLoam,HL,0.00922,0.17,0.00015,2.77,0.54,0.029
0.01,0.01,0.01,0.01,0.01,0.01,Saidpur,EthelLoam,HL,0.00639,0.28,0.00023,2.99,0.94,0.0397
0.02,0.02,0.02,0.02,0.02,0.02,Saidpur,EthelLoam,MEL,0.0043,0.12,0.00023,2.69,0.5,0.0399
0.04,0.04,0.04,0.04,0.04,0.04,Saidpur,EthelLoam,MEL,0.00624,0.16,0.00023,2.38,0.52,0.0392
0.05,0.05,0.05,0.05,0.05,0.05,Saidpur,EthelLoam,MEL,0.001548,0.15,0.00023,2.5,0.62,0.0364
0.06,0.06,0.06,0.06,0.06,0.06,Saidpur,EthelLoam,MEL,0.00938,0.14,0.0003,3.24,0.63,0.0206
0.07,0.07,0.07,0.07,0.07,0.07,Saidpur,EthelLoam,MEL,0.0028,0.15,0.00023,2.93,0.58,0.0336
0.09,0.09,0.09,0.09,0.09,0.09,Saidpur,EthelLoam,MEL,0.00547,0.14,0.00038,2.41,0.49,0.0202
0.10,0.10,0.10,0.10,0.10,0.10,Saidpur,Loam,HL,0.03038,0.21,0.00015,1.06,0.21,0.029
0.11,0.11,0.11,0.11,0.11,0.11,Saidpur,Loam,HL,0.03,0.29,0.0004,1.54,0.35,0.0303
0.12,0.12,0.12,0.12,0.12,0.12,Saidpur,Loam,HL,0.04,0.28,0.00046,1.8,0.19,0.0299
0.14,0.14,0.14,0.14,0.14,0.14,Saidpur,Loam,HL,0.04,0.27,0.00023,1.11,0.18,0.017
0.15,0.15,0.15,0.15,0.15,0.15,Saidpur,Loam,HL,0.04,0.27,0.0003,1.25,0.24,0.0298
0.16,0.16,0.16,0.16,0.16,0.16,Saidpur,Loam,HL,0.04,0.29,0.00023,2.03,0.36,0.0327
0.17,0.17,0.17,0.17,0.17,0.17,Saidpur,Loam,HL,0.0018,0.23,0.00015,3.43,1.06,0.0485
0.19,0.19,0.19,0.19,0.19,0.19,Saidpur,Loam,HL,0.04,0.19,0.00015,3.45,1,0.0249
0.20,0.20,0.20,0.20,0.20,0.20,Saidpur,Loam,HL,0.02117,0.27,0.00038,1.28,0.26,0.0371
0.21,0.21,0.21,0.21,0.21,0.21,Saidpur,Loam,HL,0.02655,0.27,0.00023,2.15,0.47,0.0463
0.22,0.22,0.22,0.22,0.22,0.22,Saidpur,Loam,HL,0.03116,0.25,0.00013,1.05,0.33,0.0315
0.23,0.23,0.23,0.23,0.23,0.23,Saidpur,Loam,HL,0.03426,0.19,0.00015,2.05,0.53,0.0323
0.25,0.25,0.25,0.25,0.25,0.25,Saidpur,Loam,HL,0.01603,0.25,0.00039,1.04,0.31,0.0485
0.26,0.26,0.26,0.26,0.26,0.26,Saidpur,Loam,MEL,0.03328,0.2,0.0002,1.92,0.24,0.033
0.27,0.27,0.27,0.27,0.27,0.27,Saidpur,Loam,HL,0.01812,0.23,0.0002,0.71,0.19,0.0351
0.28,0.28,0.28,0.28,0.28,0.28,Saidpur,Loam,HL,0.01612,0.15,0.00026,1.63,0.22,0.0325
0.30,0.30,0.30,0.30,0.30,0.30,Saidpur,Loam,HL,0.04,0.28,0.00065,1.48,0.22,0.0455
0.31,0.31,0.31,0.31,0.31,0.31,Saidpur,Loam,HL,0.01765,0.25,0.0002,1.39,0.34,0.0425
0.32,0.32,0.32,0.32,0.32,0.32,Saidpur,Loam,HL,0.04,0.27,0.0002,1.47,0.29,0.0251
0.33,0.33,0.33,0.33,0.33,0.33,Saidpur,Loam,HL,0.02487,0.19,0.00015,1.81,0.36,0.0345
0.35,0.35,0.35,0.35,0.35,0.35,Saidpur,Loam,HL,0.00894,0.17,0.00026,3.17,0.63,0.0469
0.36,0.36,0.36,0.36,0.36,0.36,Saidpur,Loam,HL,0.03,0.17,0.00015,2.74,0.48,0.044
0.37,0.37,0.37,0.37,0.37,0.37,Saidpur,Loam,HL,0.01158,0.15,0.00015,2.11,0.31,0.0364
0.38,0.38,0.38,0.38,0.38,0.38,Saidpur,Loam,MEL,0.02758,0.26,0.00015,1.76,0.19,0.0428
0.40,0.40,0.40,0.40,0.40,0.40,Saidpur,Loam,MEL,0.01389,0.1,0.00015,1.09,0.23,0.028
0.41,0.41,0.41,0.41,0.41,0.41,Saidpur,Loam,MEL,0.02427,0.17,0.00022,1.69,0.45,0.0469
0.42,0.42,0.42,0.42,0.42,0.42,Saidpur,Loam,MEL,0.0127,0.13,0.00015,1.78,0.3,0.0341
0.43,0.43,0.43,0.43,0.43,0.43,Saidpur,Loam,MEL,0.00065,0.14,0.0002,1.39,0.29,0.0451
0.44,0.44,0.44,0.44,0.44,0.44,Saidpur,Loam,MEL,0.01641,0.24,0.00026,1.57,0.34,0.0401
0.46,0.46,0.46,0.46,0.46,0.46,Saidpur,Loam,MEL,0.03319,0.22,0.00015,2.04,0.45,0.0457
0.47,0.47,0.47,0.47,0.47,0.47,Saidpur,Loam,MEL,0.02559,0.25,0.0002,1.52,0.4,0.0523
0.48,0.48,0.48,0.48,0.48,0.48,Saidpur,Loam,MEL,0.00841,0.19,0.00015,2.51,0.73,0.0529
0.49,0.49,0.49,0.49,0.49,0.49,Saidpur,Loam,MEL,0.01316,0.19,0.00015,1.96,0.43,0.0332
0.51,0.51,0.51,0.51,0.51,0.51,Saidpur,Loam,MEL,0.00476,0.15,0.00015,1.74,0.34,0.0243
0.52,0.52,0.52,0.52,0.52,0.52,Saidpur,Loam,MEL,0.0078,0.15,0.00033,2.05,0.25,0.0221
0.53,0.53,0.53,0.53,0.53,0.53,Saidpur,Loam,MEL,0.02002,0.17,0.00015,1.68,0.23,0.0111
0.54,0.54,0.54,0.54,0.54,0.54,Saidpur,Loam,MEL,0.00852,0.14,0.00015,1.59,1.36,0.0158
0.56,0.56,0.56,0.56,0.56,0.56,Saidpur,SandyLoam,MEL,0.02804,0.21,0.00015,1.43,0.32,0.0249
0.57,0.57,0.57,0.57,0.57,0.57,Saidpur,SandyLoam,MEL,0.04443,0.19,0.00015,0.8,0.14,0.0141
0.58,0.58,0.58,0.58,0.58,0.58,Saidpur,Loam,MEL,0.02621,0.27,0.00039,1.28,0.34,0.0383
0.59,0.59,0.59,0.59,0.59,0.59,Saidpur,Loam,MEL,0.02184,0.26,0.00015,1.62,0.38,0.0135
0.60,0.60,0.60,0.60,0.60,0.60,Saidpur,Loam,MEL,0.01076,0.15,0.00015,1.32,0.26,0.0118
0.62,0.62,0.62,0.62,0.62,0.62,Saidpur,Loam,MEL,0.00917,0.25,0.00015,1.7,0.31,0.0247
0.63,0.63,0.63,0.63,0.63,0.63,Saidpur,Loam,MEL,0.01717,0.24,0.00015,1.15,0.18,0.0075
0.64,0.64,0.64,0.64,0.64,0.64,Saidpur,Loam,MEL,0.01138,0.14,0.00015,1.23,0.1,0.0224
0.65,0.65,0.65,0.65,0.65,0.65,Saidpur,Loam,MEL,0.02307,0.12,0.00015,1.42,0.22,0.0089
0.67,0.67,0.67,0.67,0.67,0.67,Saidpur,Loam,MEL,0.02118,0.14,0.00015,1.27,0.22,0.0053
0.68,0.68,0.68,0.68,0.68,0.68,Saidpur,Loam,MEL,0.02802,0.19,0.0003,1.26,0.26,0.015
0.69,0.69,0.69,0.69,0.69,0.69,Saidpur,Loam,MEL,0.01925,0.16,0.00039,0.65,0.14,0.0194
0.70,0.70,0.70,0.70,0.70,0.70,Saidpur,Loam,MEL,0.01109,0.14,0.0003,1.99,0.4,0.0102
0.72,0.72,0.72,0.72,0.72,0.72,Saidpur,Loam,MEL,0.01986,0.19,0.00015,1.04,0.14,0.0296
0.73,0.73,0.73,0.73,0.73,0.73,Saidpur,Loam,MEL,0.0139,0.16,0.0002,0.5,0.27,0.0259
0.74,0.74,0.74,0.74,0.74,0.74,Saidpur,Loam,MEL,0.01057,0.15,0.0002,0.5,0.31,0.0125
0.75,0.75,0.75,0.75,0.75,0.75,Saidpur,Loam,MEL,0.01057,0.15,0.0002,1.09,0.31,0.0093
0.77,0.77,0.77,0.77,0.77,0.77,Saidpur,Loam,MEL,0.01018,0.17,0.0003,1.29,0.22,0.0044
0.78,0.78,0.78,0.78,0.78,0.78,Saidpur,Loam,MEL,0.02053,0.14,0.0002,1.5,0.28,0.0097
0.79,0.79,0.79,0.79,0.79,0.79,Saidpur,Loam,MEL,0.00876,0.12,0.00058,1.37,0.27,0.0088
0.80,0.80,0.80,0.80,0.80,0.80,Saidpur,Loam,MEL,0.00788,0.12,0.0002,1.4,0.24,0.0055
0.81,0.81,0.81,0.81,0.81,0.81,Saidpur,Loam,MEL,0.00903,0.25,0.0002,2.35,0.25,0.0161
0.83,0.83,0.83,0.83,0.83,0.83,Saidpur,Loam,MEL,0.0214,0.24,0.0002,1.83,0.46,0.0187
0.84,0.84,0.84,0.84,0.84,0.84,Saidpur,Loam,MEL,0.01425,0.23,0.0003,14.6,0.29,0.0201
0.85,0.85,0.85,0.85,0.85,0.85,Saidpur,Loam,MEL,0.01849,0.29,0.00015,2.55,0.24,0.0282
0.86,0.86,0.86,0.86,0.86,0.86,Saidpur,Loam,MEL,0.01952,0.24,0.0003,1.39,0.73,0.0238
0.88,0.88,0.88,0.88,0.88,0.88,Saidpur,Loam,MEL,0.0089,0.13,0.00015,0.8,0.37,0.0111
0.89,0.89,0.89,0.89,0.89,0.89,Saidpur,Loam,MEL,0.00691,0.15,0.00015,0.85,0.18,0.0492
0.90,0.90,0.90,0.90,0.90,0.90,Saidpur,Loam,MEL,0.01635,0.16,0.00015,0.9,0.35,0.0059
0.91,0.91,0.91,0.91,0.91,0.91,Saidpur,Loam,MEL,0.01546,0.16,0.00015,1.25,0.32,0.0165
0.93,0.93,0.93,0.93,0.93,0.93,Saidpur,Loam,MEL,0.00933,0.18,0.00017,1.35,0.4,0.0385
0.94,0.94,0.94,0.94,0.94,0.94,Saidpur,Loam,MEL,0.00857,0.21,0.00015,2.03,0.24,0.0321
0.95,0.95,0.95,0.95,0.95,0.95,Saidpur,Loam,MEL,0.00688,0.22,0.00017,1.25,0.48,0.0244
0.96,0.96,0.96,0.96,0.96,0.96,Saidpur,EthelLoam,MEL,0.00867,0.27,0.00028,0.9,0.27,0.0251
0.98,0.98,0.98,0.98,0.98,0.98,Saidpur,EthelLoam,MEL,0.00735,0.23,0.00015,1.68,0.7,0.0187
0.99,0.99,0.99,0.99,0.99,0.99,Saidpur,Loam,MEL,0.01842,0.23,0.00028,1.61,0.31,0.0615
0.00,0.00,0.00,0.00,0.00,0.00,Patgram,Loam,HL,0.04,0.1,0.00011,3,0.8,0.0112
0.01,0.01,0.01,0.01,0.01,0.01,Patgram,Loam,HL,0.06,0.17,0.00022,1.5,0.3,0.02
0.02,0.02,0.02,0.02,0.02,0.02,Patgram,Loam,HL,0.023,0.35,0.00031,0.9,0.2,0.0046
0.02,0.02,0.02,0.02,0.02,0.02,Patgram,Loam,HL,0.066,0.24,0.00027,1.9,0.5,0.0178
0.03,0.03,0.03,0.03,0.03,0.03,Patgram,Loam,MEL,0.124,0.16,0.00038,0.5,0.1,0.0038
0.04,0.04,0.04,0.04,0.04,0.04,Patgram,Loam,MEL,0.047,0.09,0.00025,0.8,0.2,0.003
0.05,0.05,0.05,0.05,0.05,0.05,Patgram,Loam,MEL,0.037,0.1,0.00025,0.8,0.2,0.0026
0.05,0.05,0.05,0.05,0.05,0.05,Patgram,Loam,MEL,0.025,0.05,0.00023,0.7,0.1,0.0032
0.06,0.06,0.06,0.06,0.06,0.06,Patgram,Loam,MEL,0.097,0.08,0.00019,1,0.2,0.003
0.07,0.07,0.07,0.07,0.07,0.07,Patgram,Loam,MEL,0.011,0.16,0.00027,1.8,0.4,0.0102
0.08,0.08,0.08,0.08,0.08,0.08,Patgram,Loam,HL,0.072,0.39,0.0001,1,0.2,0.0064
0.09,0.09,0.09,0.09,0.09,0.09,Patgram,Loam,HL,0.056,0.29,0.00015,1.5,0.3,0.0116
0.09,0.09,0.09,0.09,0.09,0.09,Patgram,Loam,HL,0.05,0.36,0.00025,0.71,0.2,0.0188
0.10,0.10,0.10,0.10,0.10,0.10,Patgram,Loam,HL,0.016,0.09,0.00019,1.25,0.1,0.018
0.11,0.11,0.11,0.11,0.11,0.11,Patgram,Loam,MEL,0.017,0.21,0.00025,0.64,0.1,0.0036
0.12,0.12,0.12,0.12,0.12,0.12,Patgram,Loam,HL,0.061,0.26,0.00021,1.6,0.4,0.02
0.12,0.12,0.12,0.12,0.12,0.12,Patgram,Loam,HL,0.115,0.007,0.00023,0.84,0.1,0.0046
0.13,0.13,0.13,0.13,0.13,0.13,Patgram,Loam,HL,0.094,0.19,0.00033,0.8,0.2,0.002
0.14,0.14,0.14,0.14,0.14,0.14,Patgram,Loam,HL,0.02,0.5,0.00023,1.2,0.2,0.0024
0.15,0.15,0.15,0.15,0.15,0.15,Patgram,Loam,HL,0.152,0.22,0.00033,1.2,0.2,0.0168
0.16,0.16,0.16,0.15,0.15,0.15,Patgram,Loam,MEL,0.014,0.12,0.00022,2.3,0.4,0.013
0.16,0.16,0.16,0.16,0.16,0.16,Patgram,Loam,HL,0.112,0.9,0.00025,1,0.2,0.0098
0.17,0.17,0.17,0.17,0.17,0.17,Patgram,Loam,HL,0.023,0.08,0.00042,1.1,0.3,0.0026
0.18,0.18,0.18,0.18,0.18,0.18,Patgram,Loam,HL,0.247,0.35,0.00021,2,0.6,0.0286
0.19,0.19,0.19,0.19,0.19,0.19,Patgram,Loam,HL,0.059,0.46,0.00037,1.5,0.4,0.011
0.19,0.19,0.19,0.19,0.19,0.19,Patgram,Loam,HL,0.167,0.33,0.00027,1.1,0.2,0.0098
0.20,0.20,0.20,0.20,0.20,0.20,Patgram,Loam,HL,0.015,0.17,0.00023,0.9,0.2,0.0022
0.21,0.21,0.21,0.21,0.21,0.21,Patgram,Loam,MEL,0.042,0.16,0.00033,1.1,0.2,0.0046
0.22,0.22,0.22,0.22,0.22,0.22,Patgram,Loam,HL,0.07,0.15,0.00005,3.2,0.2,0.0214
0.23,0.22,0.22,0.22,0.22,0.22,Patgram,Loam,HL,0.004,0.11,0.0002,4.5,0.4,0.008
0.23,0.23,0.23,0.23,0.23,0.23,Patgram,Loam,HL,0.01,0.12,0.00013,2.3,0.2,0.0124
0.24,0.24,0.24,0.24,0.24,0.24,Patgram,Loam,HL,0.18,0.39,0.0002,2.5,0.7,0.0512
0.25,0.25,0.25,0.25,0.25,0.25,Patgram,Loam,HL,0.072,0.35,0.00024,2,0.6,0.0286
0.26,0.26,0.26,0.26,0.26,0.26,Patgram,Loam,HL,0.213,0.41,0.00034,2.8,0.5,0.04
0.26,0.26,0.26,0.26,0.26,0.26,Patgram,Loam,HL,0.193,0.28,0.00027,1.5,0.4,0.0422
0.27,0.27,0.27,0.27,0.27,0.27,Patgram,Loam,HL,0.109,0.4,0.0002,6,0.7,0.0436
0.28,0.28,0.28,0.28,0.28,0.28,Patgram,Loam,HL,0.145,0.23,0.00022,2.6,0.6,0.0436
0.29,0.29,0.29,0.29,0.29,0.29,Patgram,Loam,HL,0.166,0.12,0.00034,2.8,0.6,0.013
0.30,0.29,0.29,0.29,0.29,0.29,Patgram,Loam,HL,0.033,0.22,0.00045,4.7,0.2,0.0098
0.30,0.30,0.30,0.30,0.30,0.30,Patgram,Loam,HL,0.046,0.7,0.00024,2.5,0.5,0.0166
0.31,0.31,0.31,0.31,0.31,0.31,Patgram,Loam,HL,0.014,0.16,0.00024,2.9,0.5,0.0038
0.32,0.32,0.32,0.32,0.32,0.32,Patgram,Loam,HL,0.135,0.17,0.00022,4.9,0.3,0.0126
0.33,0.33,0.33,0.33,0.33,0.33,Patgram,Loam,HL,0.138,0.46,0.00025,6,0.5,0.0848
0.33,0.33,0.33,0.33,0.33,0.33,Patgram,Loam,HL,0.165,0.18,0.00022,6.8,0.9,0.0256
0.34,0.34,0.34,0.34,0.34,0.34,Patgram,Loam,HL,0.373,2.1,0.00027,3.2,0.6,0.0134
0.35,0.35,0.35,0.35,0.35,0.35,Patgram,Loam,HL,0.116,0.24,0.0002,4.3,1.1,0.018
0.36,0.36,0.36,0.36,0.36,0.36,Patgram,Loam,HL,0.156,0.21,0.0002,2.2,0.3,0.0282
0.37,0.36,0.36,0.36,0.36,0.36,Patgram,Loam,HL,0.215,1,0.00013,1.5,0.5,0.045
0.37,0.37,0.37,0.37,0.37,0.37,Patgram,Loam,HL,0.149,0.16,0.00011,1.7,0.24,0.011
0.38,0.38,0.38,0.38,0.38,0.38,Patgram,Loam,HL,0.022,0.11,0.00036,0.92,0.2,0.003
0.39,0.39,0.39,0.39,0.39,0.39,Patgram,Loam,HL,0.131,0.34,0.00027,1.6,0.1,0.051
0.40,0.40,0.40,0.39,0.39,0.40,Patgram,Loam,HL,0.127,1,0.00029,2,0.4,0.0266
0.40,0.40,0.40,0.40,0.40,0.40,Patgram,Loam,HL,0.164,0.16,0.00027,2,0.7,0.02
0.41,0.41,0.41,0.41,0.41,0.41,Patgram,Loam,HL,0.019,0.007,0.00036,0.8,0.3,0.0018
0.42,0.42,0.42,0.42,0.42,0.42,Patgram,Loam,HL,0.108,0.37,0.00022,2.5,0.1,0.037
0.43,0.43,0.43,0.43,0.43,0.43,Patgram,Loam,HL,0.007,0.09,0.00027,1.6,0.6,0.0108
0.44,0.43,0.43,0.43,0.43,0.43,Patgram,Loam,HL,0.008,0.08,0.0002,1.1,0.4,0.0072
0.44,0.44,0.44,0.44,0.44,0.44,Patgram,Loam,HL,0.011,0.23,0.00025,1.1,0.2,0.0022
0.45,0.45,0.45,0.45,0.45,0.45,Patgram,Loam,HL,0.01,0.28,0.00031,1.4,0.3,0.0032
0.46,0.46,0.46,0.46,0.46,0.46,Patgram,Loam,HL,0.009,0.2,0.00022,1.3,0.3,0.004
0.47,0.47,0.47,0.46,0.46,0.46,Patgram,Loam,MEL,0.012,1.1,0.00031,1.5,0.3,0.0034
0.47,0.47,0.47,0.47,0.47,0.47,Patgram,Loam,HL,0.022,0.11,0.00031,0.7,0.3,0.0032
0.48,0.48,0.48,0.48,0.48,0.48,Patgram,Loam,HL,0.098,0.27,0.00023,1.6,0.2,0.268
0.49,0.49,0.49,0.49,0.49,0.49,Patgram,Loam,HL,0.101,0.55,0.00021,2.6,0.8,0.0062
0.50,0.50,0.50,0.50,0.50,0.50,Patgram,Loam,HL,0.056,0.38,0.00038,1.3,0.7,0.017
0.51,0.50,0.50,0.50,0.50,0.50,Patgram,Loam,HL,0.034,0.21,0.00019,1,0.3,0.008
0.51,0.51,0.51,0.51,0.51,0.51,Patgram,Loam,HL,0.029,0.17,0.00019,1.1,0.2,0.0244
0.52,0.52,0.52,0.52,0.52,0.52,Patgram,Loam,HL,0.024,0.1,0.00013,1.3,0.2,0.005
0.53,0.53,0.53,0.53,0.53,0.53,Patgram,Loam,MEL,0.023,0.06,0.00015,1.2,0.2,0.009
0.54,0.53,0.53,0.53,0.53,0.53,Patgram,Loam,MEL,0.124,0.16,0.00038,0.5,0.2,0.0038
0.54,0.54,0.54,0.54,0.54,0.54,Patgram,Loam,MEL,0.047,0.09,0.00025,0.8,0.1,0.003
0.55,0.55,0.55,0.55,0.55,0.55,Patgram,Loam,MEL,0.037,0.1,0.00025,0.8,0.2,0.0026
0.56,0.56,0.56,0.56,0.56,0.56,Patgram,Loam,MEL,0.025,0.05,0.00023,0.7,0.2,0.0032
0.57,0.57,0.57,0.57,0.57,0.57,Patgram,Loam,MEL,0.017,0.08,0.00019,1,0.1,0.003
0.58,0.57,0.57,0.57,0.57,0.57,Patgram,Loam,MEL,0.011,0.16,0.00027,1.8,0.2,0.0102
