0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
ref,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
Phosphorus,0.016276667,0.018480643,0.019633333,0.0142264,0.028486914,0.02091575,0.022431333,0.016384667,0.020932222,0.0217695,0.026712714,0.018132364,0.02622075,0.018316818,0.0179038,0.014056,0.013866,0.012194615,0.019254071,0.014902313,0.010988333,0.011032813,0.020965882,0.013353929,0.013170923,0.013129438,0.0111301,0.011012429,0.012224444,0.0078165,0.011571917,0.012384429,0.011070412,0.012887573,0.0133442,0.010383585,0.01255775,0.018551327,0.014254733,0.012996664,0.015677164,0.017023863,0.014389657,0.010473067,0.0201715,0.0093034,0.014539381,0.018931987,0.015000557,0.01340315,0.020797537,0.011586467,0.014274818,0.019354747,0.011812829,0.012214421,0.014524683,0.014564436,0.011333021,0.010550073,0.0122528,0.010825231,0.013205941,0.012056375,0.015058592,0.0102832,0.012334286,0.009720807,0.011651111,0.00939072,0.015080133,0.008810357,0.0150445,0.009928312,0.009622133,0.009574488,0.010817215,0.008016817,0.010144235,0.01537615,0.010871392,0.008471875,0.014844686,0.01257095,0.011461853,0.008947524,0.01395455,0.014541581,0.014742886,0.013796583,0.013016706,0.011915333,0.005820538,0.011335156,0.0201984,0.012437853,0.0085268,0.006549207,0.013080564,0.010356585,0.016404
Potassium,0.192222222,0.215714286,0.225,0.198,0.197142857,0.193333333,0.205,0.164166667,0.202222222,0.21,0.190714286,0.224545455,0.171666667,0.160909091,0.189,0.182142857,0.157058824,0.203076923,0.162142857,0.16875,0.1775,0.165,0.160588235,0.155714286,0.179230769,0.15875,0.13,0.132142857,0.141111111,0.176666667,0.179166667,0.19,0.189411765,0.214545455,0.171111111,0.175384615,0.1675,0.158,0.198,0.205454545,0.17,0.1404375,0.16,0.164666667,0.139166667,0.179,0.16875,0.196666667,0.175,0.178571429,0.1775,0.15,0.175454545,0.128666667,0.129285714,0.168571429,0.146666667,0.145,0.17,0.157272727,0.145,0.151538462,0.141235294,0.125625,0.156666667,0.183333333,0.131428571,0.128571429,0.111111111,0.149333333,0.184,0.167857143,0.137142857,0.18375,0.160666667,0.146875,0.158461538,0.176111111,0.18,0.128333333,0.176153846,0.155625,0.182142857,0.168571429,0.164705882,0.161764706,0.1735,0.195625,0.151428571,0.145833333,0.16,0.171666667,0.173076923,0.176875,0.216,0.183333333,0.147333333,0.153571429,0.153636364,0.133846154,0.174
Boron,0.000283333,0.00026,0.000255,0.000256,0.000234286,0.000215833,0.000215,0.0002225,0.000298889,0.000275,0.000257143,0.000296364,0.000221667,0.000247273,0.000228,0.000277143,0.000244706,0.000225385,0.000257143,0.000278125,0.000269167,0.00027625,0.000235882,0.000237857,0.000264615,0.00029375,0.00026,0.000248571,0.000294444,0.000328333,0.00033,0.000277357,0.000291765,0.000274818,0.000238889,0.000240769,0.000263333,0.000289333,0.000275333,0.000283636,0.00029,0.000239375,0.000257857,0.000273333,0.000274167,0.0002849,0.000259375,0.000311667,0.000279286,0.000272857,0.00029,0.000246667,0.000274545,0.000286,0.000265714,0.000254286,0.000259167,0.000278571,0.000285714,0.000256364,0.000251875,0.000265385,0.000251765,0.0002775,0.000258333,0.000279167,0.000287143,0.000293571,0.000263333,0.000288667,0.000276667,0.000285714,0.000254286,0.000278125,0.000308,0.000295625,0.000291538,0.000303889,0.000308824,0.000295833,0.000285385,0.000284375,0.000304286,0.000292857,0.000301176,0.000240588,0.000294,0.00027875,0.000286429,0.000333333,0.000305882,0.00031,0.000308154,0.000273125,0.000333,0.000271333,0.000308667,0.000265,0.000264545,0.000275385,0.000268
Calcium,2.547777778,2.087142857,2.141666667,1.86,1.075714286,1.715833333,1.796666667,2.186666667,1.451111111,1.880833333,1.923571429,2.310909091,1.370833333,1.701818182,1.871,1.94,1.931764706,2.57,2.351428571,2.28875,1.810833333,2.14875,2.219294118,2.535,1.847692308,2.140625,2.376,1.996428571,1.427777778,1.965,2.6225,1.885,2.552941176,1.546363636,1.731111111,1.713076923,2.6925,2.802,2.417333333,2.228181818,2.412142857,2.036875,1.909285714,2.288,1.653333333,2.445,1.599375,1.951666667,2.606428571,1.910714286,2.1025,1.881666667,2.16,1.979333333,2.357857143,2.356428571,1.849166667,1.697857143,1.943714286,2.410909091,2.265,2.254615385,2.108235294,1.861875,1.485833333,1.843333333,1.766428571,1.936428571,1.893333333,1.740666667,2.215333333,1.982857143,1.728571429,2.234375,2.11,1.81,1.98,2.556666667,2.320588235,1.836666667,2.157692308,2.37625,2.070714286,2.177142857,2.028823529,2.755294118,2.4685,2.0483125,2.052142857,2.075,1.847058824,2.928333333,2.73,2.3175,1.634,1.820666667,1.815333333,2.281428571,1.251818182,1.798461538,1.23
Magnesium,0.778888889,0.602142857,0.766666667,0.612,0.36,0.52,0.498333333,0.638333333,0.628888889,0.6375,0.579285714,0.621818182,0.363333333,0.491818182,0.547,0.572142857,0.597058824,0.826153846,0.593571429,0.664375,0.589166667,0.67125,0.644705882,0.593571429,0.589230769,0.628125,0.688,0.600714286,0.585555556,0.723333333,0.783333333,0.687857143,0.811764706,0.601818182,0.664444444,0.693846154,0.584166667,0.7608,0.673333333,0.746363636,0.683214286,0.751875,0.775,0.816666667,0.534166667,0.769,0.620625,0.563333333,0.839285714,0.572857143,0.71125,0.6,0.763636364,0.513333333,0.750714286,0.661428571,0.591666667,0.605,0.594285714,0.660909091,0.67125,0.63,0.678823529,0.5625,0.475833333,0.654166667,0.6,0.595,0.615555556,0.594666667,0.624666667,0.671428571,0.52,0.868125,0.715333333,0.574375,0.634615385,0.858888889,0.648823529,0.575833333,0.732307692,0.751875,0.666428571,0.670714286,0.584705882,0.800588235,0.7785,0.695625,0.624285714,0.583333333,0.56,0.881666667,0.931538462,0.77375,0.583,0.799333333,0.559333333,0.790714286,0.517272727,0.509230769,0.3965
Manganese,0.020915556,0.020720714,0.021541667,0.02328,0.020314286,0.020796667,0.018086667,0.024086667,0.014422222,0.0150625,0.022960714,0.016173727,0.016614167,0.013266091,0.0178141,0.020398929,0.014446235,0.021646077,0.0144645,0.020016625,0.026571667,0.01539025,0.021573412,0.015126286,0.023780538,0.016982063,0.0164263,0.019691429,0.022166667,0.018691667,0.015735833,0.016388857,0.022080059,0.016668364,0.013827111,0.012939077,0.01478,0.020260267,0.017431467,0.014941091,0.021867857,0.015248875,0.0193135,0.0150016,0.015953167,0.0117228,0.016901062,0.02168525,0.020286643,0.019825214,0.020730875,0.01598525,0.017511636,0.020118267,0.014613786,0.013055286,0.023509083,0.013638714,0.019632143,0.013775818,0.0123325,0.015874923,0.01784,0.01355125,0.018415083,0.014947675,0.024026929,0.016060429,0.013227778,0.012538667,0.013295333,0.017433929,0.015389429,0.01635175,0.020552067,0.01337225,0.017335,0.018643944,0.017747059,0.016939917,0.022139231,0.018932313,0.016119357,0.012119571,0.015828235,0.019486,0.016738,0.01711475,0.021792143,0.015423583,0.014195647,0.01415725,0.022584154,0.016485125,0.015794,0.016946667,0.0114032,0.012085357,0.008106364,0.011832769,0.01014
