0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
ref,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
Phosphorus,0.016276667,0.017209923,0.021828571,0.0142264,0.026234733,0.022537615,0.0219236,0.015942167,0.023507778,0.023133385,0.024880615,0.018132167,0.02622075,0.018316818,0.0179038,0.014056,0.014226375,0.015796,0.015188083,0.015141688,0.010670833,0.012968056,0.018565625,0.014478846,0.015400857,0.011896312,0.0138811,0.009944267,0.0106938,0.011930769,0.013756083,0.011167286,0.011034071,0.010713608,0.011337533,0.011091186,0.019049462,0.015694279,0.013663812,0.01450595,0.013479192,0.016510787,0.016722333,0.012008063,0.019827556,0.0092554,0.011895631,0.017174923,0.015299062,0.019261721,0.020076391,0.0096816,0.009944818,0.016358747,0.015726327,0.012945136,0.012200413,0.013101381,0.0178871,0.01276408,0.01145405,0.011298533,0.0111594,0.013076,0.010393793,0.014604492,0.007805455,0.011852581,0.014308889,0.007600675,0.010545538,0.009476786,0.0134682,0.012680188,0.014613231,0.009661871,0.010597985,0.008915513,0.01034325,0.01143078,0.013460256,0.015237,0.012895467,0.013593093,0.010615575,0.011101744,0.014023944,0.011517206,0.0091269,0.0127409,0.011190824,0.0112036,0.0083455,0.009200962,0.017210444,0.015314129,0.011490154,0.0059853,0.008352183,0.010853257,0.01144
Potassium,0.192222222,0.227692308,0.201428571,0.198,0.183333333,0.2,0.218,0.1575,0.211111111,0.201538462,0.193846154,0.221666667,0.171666667,0.160909091,0.189,0.182142857,0.159375,0.196666667,0.16,0.166875,0.179166667,0.165,0.159375,0.158461538,0.184285714,0.146875,0.134,0.129333333,0.163,0.183076923,0.1575,0.190714286,0.198571429,0.2025,0.172222222,0.185,0.188461538,0.152142857,0.1925,0.169285714,0.170833333,0.130466667,0.16,0.153684211,0.16,0.189,0.179375,0.172,0.173846154,0.17,0.174545455,0.160909091,0.175454545,0.132666667,0.11,0.159285714,0.155333333,0.135625,0.193846154,0.165,0.1475,0.137333333,0.1374,0.135294118,0.144285714,0.165384615,0.149090909,0.133125,0.142222222,0.13875,0.161538462,0.184285714,0.131333333,0.19875,0.17,0.15,0.148461538,0.194666667,0.16625,0.122,0.175,0.1855,0.149166667,0.178571429,0.1705,0.164375,0.161111111,0.168125,0.16375,0.145,0.175882353,0.166666667,0.173571429,0.17,0.183333333,0.199285714,0.169230769,0.15,0.156666667,0.136428571,0.172
Boron,0.000283333,0.000258462,0.000258571,0.000256,0.000226667,0.000220769,0.000228,0.000225,0.000287778,0.000273846,0.000249231,0.000298333,0.000221667,0.000247273,0.000228,0.000277143,0.00024625,0.000249333,0.000229167,0.000275,0.000263333,0.000268889,0.000239375,0.000242308,0.000259286,0.000285,0.000295,0.000252667,0.000304,0.000335385,0.0003225,0.000277357,0.000282143,0.00028775,0.000222222,0.000250714,0.000267692,0.000308571,0.00028,0.00025,0.000290833,0.000266667,0.000273333,0.000260526,0.000247778,0.0002769,0.000251875,0.000313333,0.000303077,0.000251429,0.000271818,0.000255455,0.000248182,0.000271333,0.000283636,0.000258571,0.000291333,0.000255625,0.000282308,0.00026,0.00027,0.000307333,0.000252,0.000231176,0.000257143,0.000292308,0.000299091,0.000278125,0.000292222,0.000279375,0.000284615,0.000263571,0.000259333,0.000269375,0.000333077,0.000290588,0.000291538,0.00031,0.000289375,0.000283,0.000234375,0.0002975,0.00033,0.000286429,0.0003025,0.0002975,0.000316667,0.000288125,0.000289375,0.000316,0.000302353,0.000278667,0.000334,0.000283077,0.000293333,0.000236429,0.000295385,0.000296923,0.000253333,0.000237857,0.000362
Calcium,2.547777778,2.14,2.035714286,1.86,1.171666667,1.622307692,1.356,2.284166667,1.698888889,1.665384615,1.843076923,2.4925,1.370833333,1.701818182,1.871,1.94,1.915,2.685333333,1.933333333,2.224375,2.14,2.305555556,1.9105,2.387692308,2.344285714,1.840625,2.207,1.876666667,2.166,2.239230769,2.4225,1.843571429,2.102857143,1.700833333,2.242222222,2.042857143,2.417692308,2.594285714,2.350625,2.667142857,1.824166667,2.04,1.7575,2.327894737,1.418888889,2.009,1.998125,2.062666667,2.276153846,1.726428571,1.961818182,2.347272727,2.513636364,1.914,1.959090909,1.920714286,1.942133333,2.041875,1.836923077,2.175,2.11875,2.200666667,2.161333333,1.931176471,1.844285714,1.905384615,1.841818182,1.685625,2.452222222,1.769375,2.169230769,2.122857143,1.98,2.135,1.963076923,1.877647059,2.146153846,2.036666667,1.870625,2.363,2.32,2.2535,2.120833333,2.316428571,2.1815,2.449375,2.446111111,1.7370625,2.286875,2.383,2.067058824,2.638666667,2.445714286,2.241538462,1.771111111,1.791428571,1.871538462,2.1,1.735,1.859285714,2.186
Magnesium,0.778888889,0.641538462,0.67,0.612,0.39,0.493846154,0.426,0.661666667,0.671111111,0.581538462,0.548461538,0.675833333,0.363333333,0.491818182,0.547,0.572142857,0.596875,0.775333333,0.598333333,0.673125,0.639166667,0.650555556,0.55875,0.64,0.684285714,0.564375,0.708,0.556,0.615,0.752307692,0.8025,0.655714286,0.783571429,0.675,0.731111111,0.711428571,0.576153846,0.775857143,0.71125,0.857142857,0.56375,0.73,0.713333333,0.757894737,0.467777778,0.674,0.68625,0.603333333,0.822307692,0.59,0.637272727,0.723636364,0.794545455,0.512,0.737272727,0.643571429,0.618,0.604375,0.550769231,0.61,0.70375,0.674666667,0.625333333,0.492941176,0.51,0.678461538,0.669090909,0.55375,0.85,0.624375,0.61,0.677142857,0.600666667,0.778125,0.593076923,0.617647059,0.729230769,0.724666667,0.560625,0.642,0.77625,0.702,0.669166667,0.725714286,0.6865,0.661875,0.776111111,0.61875,0.754375,0.703,0.633529412,0.863333333,0.833571429,0.711538462,0.567777778,0.660714286,0.671538462,0.686153846,0.551666667,0.541428571,0.517
Manganese,0.020915556,0.021699231,0.019607143,0.02328,0.020366667,0.020735385,0.02094,0.02403,0.013844444,0.016483077,0.022133077,0.015650083,0.016614167,0.013266091,0.0178141,0.020398929,0.013049125,0.0195126,0.01844525,0.019451,0.023410833,0.016310778,0.02199425,0.016654462,0.021801929,0.018171438,0.0192033,0.016962,0.020537,0.018361538,0.015594167,0.017824571,0.021965071,0.016254333,0.015343778,0.013707714,0.014206923,0.020118143,0.018740125,0.014927286,0.021695,0.0138988,0.018557417,0.014907579,0.018567556,0.0119608,0.018588563,0.020326867,0.019502538,0.018026643,0.019944273,0.018947545,0.016327091,0.020316267,0.015552091,0.011741714,0.0211066,0.013427625,0.01846,0.0120884,0.01200375,0.0157576,0.017567333,0.015762941,0.0185065,0.0172617,0.017607,0.016889125,0.020212222,0.0138325,0.014813077,0.016141071,0.0173768,0.014323,0.018060077,0.016743294,0.019384231,0.017666733,0.015858125,0.0130789,0.02069875,0.01872085,0.014648417,0.015443857,0.0163465,0.01926075,0.017021667,0.01648225,0.01826,0.0193383,0.013818588,0.016237133,0.019768857,0.019184,0.014916667,0.01555,0.013949077,0.012358077,0.007989167,0.011149714,0.011114
