0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
ref,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
Phosphorus,0.016276667,0.018480643,0.019633333,0.0142264,0.028486914,0.021622636,0.020459667,0.015942167,0.023507778,0.023133385,0.024880615,0.018132167,0.02622075,0.018316818,0.0179038,0.014499929,0.013837938,0.015867143,0.016616929,0.013779133,0.010957692,0.015578611,0.015710667,0.014478846,0.015400857,0.010191615,0.013054636,0.011248267,0.012275273,0.010508462,0.013339417,0.0092768,0.011574385,0.012271942,0.013247982,0.011875892,0.017836917,0.015809223,0.015269471,0.010763608,0.014546946,0.018359488,0.012421938,0.012126235,0.02076225,0.009792778,0.01170134,0.017316449,0.01782252,0.014072623,0.01944803,0.012150585,0.011968455,0.017172229,0.015709969,0.011780915,0.013479683,0.01406665,0.014807892,0.0132509,0.010330343,0.016847714,0.007535063,0.013005412,0.011933315,0.0136232,0.007538462,0.010779517,0.011300978,0.011824,0.0096988,0.009999,0.0129582,0.0116962,0.012652133,0.008371987,0.012600317,0.009606817,0.011685467,0.012490345,0.015608175,0.011972415,0.011439792,0.014832253,0.010887118,0.013123217,0.0172245,0.011022206,0.005540867,0.012987417,0.012534111,0.009330286,0.007143233,0.009682067,0.020161364,0.0142764,0.009417143,0.006284242,0.011198938,0.007754145,0.00998375
Potassium,0.192222222,0.215714286,0.225,0.198,0.197142857,0.196363636,0.208333333,0.1575,0.211111111,0.201538462,0.193846154,0.221666667,0.171666667,0.160909091,0.189,0.179285714,0.161875,0.189285714,0.172857143,0.164666667,0.179230769,0.168333333,0.154,0.158461538,0.184285714,0.153076923,0.124545455,0.134,0.16,0.184615385,0.160833333,0.193333333,0.190769231,0.209166667,0.163636364,0.188461538,0.18,0.160769231,0.193529412,0.181666667,0.166153846,0.1304375,0.154615385,0.158235294,0.153333333,0.191111111,0.176666667,0.192307692,0.176,0.170769231,0.168,0.164615385,0.168181818,0.127142857,0.12,0.165384615,0.150833333,0.140555556,0.195833333,0.160833333,0.149285714,0.155,0.1269375,0.126470588,0.16,0.1725,0.15,0.119444444,0.126666667,0.150769231,0.163333333,0.171333333,0.137333333,0.19,0.176,0.154375,0.1475,0.176666667,0.175333333,0.12,0.18,0.169,0.185384615,0.173333333,0.179411765,0.161666667,0.160555556,0.173125,0.153333333,0.1575,0.175555556,0.156428571,0.176666667,0.164,0.175454545,0.193333333,0.176428571,0.141666667,0.158461538,0.132727273,0.16625
Boron,0.000283333,0.00026,0.000255,0.000256,0.000234286,0.000221818,0.000215,0.000225,0.000287778,0.000273846,0.000249231,0.000298333,0.000221667,0.000247273,0.000228,0.000270714,0.000251875,0.000243571,0.000237143,0.000277333,0.000260769,0.000282778,0.000223333,0.000242308,0.000259286,0.000288462,0.000282727,0.000252,0.000305455,0.000334615,0.000313333,0.000274867,0.000283846,0.000296083,0.000247273,0.000234615,0.000265833,0.000300769,0.000292353,0.000263333,0.000270769,0.0002475,0.000278462,0.00027,0.0002675,0.000273222,0.000248,0.000309231,0.000283333,0.000269231,0.000304,0.000243077,0.000251818,0.000272143,0.000286154,0.000254615,0.000265,0.000266111,0.000293333,0.000251667,0.000249286,0.000312857,0.000265625,0.000238235,0.00027,0.000251667,0.000283846,0.000317222,0.000273333,0.000267692,0.000260667,0.000272667,0.00031,0.000254667,0.000334,0.000290625,0.0002875,0.000291667,0.000284667,0.000282727,0.000271667,0.00029,0.000318462,0.000277333,0.000291176,0.000294444,0.000298889,0.000319375,0.000280833,0.000293333,0.000299444,0.000295714,0.000317733,0.000283333,0.000278182,0.000274167,0.000298571,0.000275833,0.000259231,0.000250909,0.00030625
Calcium,2.547777778,2.087142857,2.141666667,1.86,1.075714286,1.430909091,1.938333333,2.284166667,1.698888889,1.665384615,1.843076923,2.4925,1.370833333,1.701818182,1.871,1.704285714,2.12125,2.434285714,2.345,2.144,2.03,2.409444444,1.865866667,2.387692308,2.344285714,1.59,2.150909091,1.941333333,1.972727273,2.638461538,2.4275,1.787333333,2.15,1.711666667,2.472727273,2.008461538,2.225,2.293846154,2.499411765,2.545,2.22,1.8975,1.88,2.502352941,1.2975,1.824444444,1.907333333,2.193846154,2.513333333,1.438461538,2.014,2.163846154,2.548181818,1.891428571,2.295384615,1.919384615,1.613333333,1.929444444,2.078333333,2.3575,2.125714286,1.961428571,2.29125,1.820588235,1.526153846,2.143333333,2.093846154,1.895555556,1.851111111,2.013846154,2.196666667,2.01,1.662,2.310666667,2.094,1.95375,1.94,1.913333333,2.004666667,2.192727273,1.981666667,2.4225,2.113846154,2.513333333,2.169411765,2.407222222,2.269444444,1.9970625,2.179166667,2.0625,2.283333333,2.607142857,2.572,2.192,1.680909091,1.786666667,1.867857143,2.010833333,1.859230769,1.634545455,2.6175
Magnesium,0.778888889,0.602142857,0.766666667,0.612,0.36,0.458181818,0.555,0.661666667,0.671111111,0.581538462,0.548461538,0.675833333,0.363333333,0.491818182,0.547,0.533571429,0.630625,0.737857143,0.66,0.667333333,0.607692308,0.643888889,0.588666667,0.64,0.684285714,0.525384615,0.663636364,0.596,0.577272727,0.792307692,0.801666667,0.645333333,0.800769231,0.660833333,0.759090909,0.682307692,0.535833333,0.745538462,0.718235294,0.815,0.633461538,0.76125,0.753846154,0.778235294,0.451666667,0.721111111,0.66,0.599230769,0.868666667,0.506153846,0.69,0.653076923,0.761818182,0.562142857,0.680769231,0.696923077,0.533333333,0.641666667,0.549166667,0.665833333,0.683571429,0.625,0.673125,0.515294118,0.442307692,0.64,0.723846154,0.585555556,0.66,0.673846154,0.667333333,0.669333333,0.528666667,0.872,0.611333333,0.62,0.6525,0.66,0.64,0.617272727,0.685,0.664,0.780769231,0.786,0.671764706,0.669444444,0.706666667,0.686875,0.619166667,0.698333333,0.698333333,0.81,0.903333333,0.778,0.509090909,0.741666667,0.647857143,0.67,0.576923077,0.503636364,0.648125
Manganese,0.020915556,0.020720714,0.021541667,0.02328,0.020314286,0.020356364,0.021723333,0.02403,0.013844444,0.016483077,0.022133077,0.015650083,0.016614167,0.013266091,0.0178141,0.020149643,0.01326725,0.020432786,0.017690929,0.0194344,0.024533077,0.015399667,0.022020533,0.016654462,0.021801929,0.018815615,0.017540273,0.019142667,0.017056364,0.020351538,0.014769167,0.018276267,0.022523923,0.016504333,0.014099455,0.013446769,0.0142075,0.021383385,0.016652471,0.015612667,0.022691538,0.015442625,0.016976077,0.015043765,0.018425667,0.009662,0.0184978,0.021368692,0.0206562,0.018877923,0.0174077,0.019951,0.015763455,0.019576,0.015314077,0.012644923,0.023381583,0.012925667,0.017264167,0.013366167,0.012441429,0.014288857,0.018011875,0.015334118,0.016321615,0.017943508,0.018210538,0.017820333,0.017716667,0.013846923,0.017022667,0.016005,0.015523467,0.015210533,0.017492733,0.0165585,0.01566125,0.0161645,0.020402,0.015035364,0.020156667,0.01828585,0.016159308,0.0157596,0.015958235,0.019390667,0.014505,0.016464125,0.020126667,0.02128525,0.014084222,0.015153357,0.018470267,0.018528133,0.017595455,0.015304167,0.015753429,0.00787375,0.010071538,0.011598727,0.011315
