0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
ref,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
Phosphorus,0.016649,0.018552071,0.01936,0.017855333,0.027234733,0.021229923,0.024098,0.015801333,0.02191125,0.0245445,0.024760571,0.0172155,0.026804083,0.017680455,0.019185273,0.013214154,0.013413875,0.015679286,0.018637133,0.012817133,0.008901429,0.016192813,0.016426667,0.014068214,0.015031571,0.0120794,0.0133961,0.0099848,0.011113,0.01202,0.013750231,0.0105385,0.011141214,0.012093093,0.009443089,0.014713329,0.014778583,0.016465707,0.014532733,0.016459442,0.015895353,0.017835737,0.010865371,0.013089176,0.021923111,0.008609455,0.014517065,0.014356384,0.017219831,0.013916273,0.02308503,0.010291467,0.0118553,0.011575086,0.018414257,0.008920158,0.012254729,0.017218256,0.0132271,0.015426985,0.0119653,0.012731385,0.010225353,0.010978353,0.010302546,0.014299108,0.010629231,0.010812753,0.014445422,0.0143268,0.010185467,0.010665,0.012285533,0.007655188,0.008337077,0.014507165,0.011625677,0.006380193,0.013102211,0.0120067,0.014036293,0.011401053,0.014618475,0.015366942,0.008438219,0.012556119,0.013148188,0.012612206,0.006640743,0.015619917,0.011443895,0.010258267,0.007118346,0.010128643,0.021648545,0.010409817,0.010881833,0.005810685,0.01133885,0.00662356,0.010766667
Potassium,0.187,0.220714286,0.228,0.19,0.205,0.191538462,0.201666667,0.163333333,0.215,0.208333333,0.185,0.226666667,0.170833333,0.154545455,0.193636364,0.181538462,0.1575,0.205,0.166,0.167333333,0.162857143,0.173125,0.152666667,0.158571429,0.180714286,0.152,0.133,0.147333333,0.141,0.176,0.161538462,0.1925,0.196428571,0.190714286,0.181111111,0.187857143,0.176666667,0.164285714,0.193333333,0.176666667,0.164,0.1373125,0.155,0.157647059,0.146666667,0.194545455,0.181176471,0.194,0.162307692,0.167333333,0.184,0.15,0.177,0.126428571,0.130714286,0.165833333,0.151428571,0.134375,0.198461538,0.162307692,0.13,0.146923077,0.132411765,0.136470588,0.141538462,0.168461538,0.173846154,0.122,0.111111111,0.157333333,0.162,0.172307692,0.152666667,0.173125,0.181538462,0.152941176,0.147692308,0.2,0.174210526,0.130714286,0.17,0.173684211,0.1775,0.159166667,0.16,0.1675,0.1775,0.164375,0.17,0.165,0.163684211,0.159333333,0.18,0.154285714,0.188181818,0.19,0.1975,0.145384615,0.159166667,0.12,0.16
Boron,0.000284,0.000259286,0.00025,0.000253333,0.000233333,0.000213077,0.000211667,0.000234167,0.0003075,0.000269167,0.000252143,0.00029,0.000220833,0.000253636,0.000235455,0.000278462,0.000243125,0.000230714,0.000264,0.000263333,0.00027,0.000284375,0.000225333,0.000233571,0.000255714,0.000298667,0.000294,0.000241333,0.000298,0.000343533,0.000322308,0.000279417,0.000275,0.000287857,0.000215556,0.000244286,0.000265833,0.000305714,0.000288,0.000248333,0.000277333,0.00024625,0.000285,0.000264706,0.000268889,0.000262636,0.000265294,0.000301,0.000308462,0.000266,0.000287,0.0002475,0.000256,0.000256429,0.000296429,0.00026,0.000298571,0.0002375,0.000263077,0.000264615,0.000300625,0.000246923,0.00028,0.000242941,0.000268462,0.000281538,0.000272308,0.000304667,0.000257778,0.00028,0.000269333,0.000296154,0.00028,0.000269375,0.000317692,0.000297647,0.000271538,0.0003,0.000286316,0.000300714,0.000252143,0.000293158,0.000314375,0.000325,0.00031375,0.00029125,0.000271875,0.000290625,0.000280714,0.000305,0.000316316,0.000298667,0.000306615,0.000278571,0.000274545,0.000254167,0.000295833,0.000274615,0.000275833,0.000234,0.000336667
Calcium,2.361,2.161428571,2.226,1.681666667,1.123333333,1.634615385,1.9,2.12,1.685,1.675833333,1.761428571,2.509166667,1.355,1.749090909,1.78,1.997692308,1.924375,2.736428571,2.217333333,2.129333333,2.074285714,2.22675,2.286,2.252857143,1.969285714,1.778666667,2.364,2.08,1.76,2.117333333,2.663076923,1.646666667,2.137857143,1.925,2.163333333,2.125714286,2.646666667,2.806428571,2.443333333,2.0875,1.724,1.80875,2.064285714,2.241764706,1.245555556,2.297272727,2.221176471,1.496,2.075384615,2.118,2.242,2.244166667,1.769,1.882142857,2.636428571,2.176,2.035,1.670625,1.704615385,2.181538462,2.225,2.246923077,2.272352941,1.678823529,1.775384615,1.789230769,1.873846154,1.799333333,1.94,1.918,2.126666667,2.040769231,1.747333333,2.233125,2.226923077,1.55,2.083076923,2.482857143,2.058421053,1.907142857,2.539285714,2.281578947,1.8575,2.283333333,2.425,2.45625,2.6725,2.1764375,1.945714286,2.305833333,1.980526316,2.262666667,2.713076923,2.294285714,1.74,2.049166667,1.961666667,2.014615385,1.934166667,1.493,2.421666667
Magnesium,0.743,0.642857143,0.722,0.59,0.34,0.507692308,0.548333333,0.635833333,0.67625,0.578333333,0.558571429,0.6425,0.376666667,0.519090909,0.488181818,0.6,0.61375,0.794285714,0.652666667,0.571333333,0.688571429,0.59375,0.677333333,0.582857143,0.669285714,0.554,0.698,0.586,0.653,0.696666667,0.756923077,0.695833333,0.788571429,0.685714286,0.661111111,0.747142857,0.623333333,0.824428571,0.697333333,0.750833333,0.621666667,0.661875,0.720714286,0.764705882,0.484444444,0.757272727,0.707058824,0.447,0.737692308,0.648,0.744,0.7175,0.647,0.562142857,0.777142857,0.720833333,0.58,0.533125,0.566153846,0.645384615,0.655,0.708461538,0.671176471,0.498235294,0.469230769,0.613076923,0.705384615,0.579333333,0.737777778,0.663333333,0.668,0.67,0.578,0.775625,0.626923077,0.541764706,0.741538462,0.742857143,0.576842105,0.644285714,0.825714286,0.694210526,0.635625,0.715833333,0.69625,0.696875,0.805625,0.728125,0.676428571,0.679166667,0.666842105,0.724,0.893846154,0.715,0.548181818,0.705833333,0.615833333,0.791538462,0.494166667,0.519,0.585833333
Manganese,0.020174,0.020770714,0.02301,0.023,0.0201,0.020250769,0.018553333,0.024595,0.015125,0.016265,0.022109286,0.01451675,0.017580833,0.014066091,0.020021909,0.016998846,0.013199125,0.020635643,0.017326867,0.0221244,0.023633571,0.015495875,0.0205632,0.017912,0.0197555,0.018463533,0.0181473,0.016688667,0.021767,0.01792,0.017856154,0.018845333,0.020107929,0.014893,0.015282667,0.016593429,0.014521667,0.018271714,0.0172448,0.016544333,0.021129333,0.015136375,0.0159085,0.016171412,0.018383111,0.012401636,0.020333941,0.0217153,0.019257154,0.018940867,0.0164087,0.01843525,0.0164438,0.020485286,0.014481643,0.010150333,0.019424929,0.0172945,0.019082308,0.012175692,0.014274375,0.013088,0.020718824,0.016592941,0.013747,0.018223238,0.016786692,0.0143684,0.020044444,0.014769333,0.015988667,0.014915,0.015576133,0.016154875,0.016430077,0.018279176,0.017605769,0.019057929,0.016434211,0.018955643,0.020114286,0.018564053,0.014973813,0.011098667,0.015793125,0.01731825,0.016983125,0.016406,0.020391429,0.019011083,0.016576632,0.0146758,0.017906462,0.019363,0.017938182,0.016648333,0.011304833,0.012821154,0.007718333,0.0104136,0.005781667
