0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
ref,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
Phosphorus,0.016276667,0.018480643,0.019633333,0.0142264,0.028486914,0.02091575,0.0219236,0.015942167,0.023507778,0.020677833,0.026860571,0.018132167,0.02622075,0.018316818,0.0179038,0.014052267,0.014241467,0.016179286,0.014976929,0.015018467,0.010670833,0.012886176,0.018318235,0.014478846,0.015357846,0.0105634,0.015560091,0.009066,0.0120565,0.010933333,0.012292091,0.01025075,0.012156417,0.010206942,0.01360578,0.007568969,0.021739462,0.016235707,0.014456313,0.012767946,0.0150573,0.014811987,0.015159013,0.012319067,0.020643917,0.0102215,0.011983131,0.018656987,0.015869062,0.015511506,0.01920903,0.013780691,0.010541083,0.014832229,0.016682467,0.013497838,0.0132283,0.011600571,0.016407058,0.014967567,0.011596057,0.012702,0.0108394,0.012583444,0.009019507,0.015538338,0.008050833,0.011355081,0.0108532,0.012215143,0.010148615,0.009647667,0.011993938,0.012478313,0.011921571,0.008115453,0.013038129,0.009780747,0.010598875,0.010683982,0.012881293,0.012029269,0.011244408,0.016228988,0.011563588,0.012169288,0.013125316,0.012058072,0.012805033,0.012009909,0.011177444,0.01111275,0.008550607,0.009432929,0.018835909,0.0112789,0.011020769,0.008471493,0.00851885,0.010700431,0.010685714
Potassium,0.192222222,0.215714286,0.225,0.198,0.197142857,0.193333333,0.218,0.1575,0.211111111,0.205,0.191428571,0.221666667,0.171666667,0.160909091,0.189,0.178,0.162,0.203571429,0.155714286,0.167333333,0.179166667,0.168823529,0.155882353,0.158461538,0.186923077,0.152666667,0.131818182,0.130714286,0.153333333,0.189166667,0.16,0.191875,0.1975,0.206666667,0.151,0.19,0.186923077,0.160714286,0.190625,0.181538462,0.176363636,0.1316875,0.153333333,0.154666667,0.155,0.183,0.17375,0.204166667,0.169230769,0.173125,0.168,0.152727273,0.180833333,0.122142857,0.1175,0.170769231,0.150714286,0.130588235,0.203333333,0.160833333,0.148571429,0.138571429,0.136066667,0.132777778,0.148571429,0.175384615,0.16,0.1175,0.113333333,0.157857143,0.166153846,0.174666667,0.126875,0.1975,0.165714286,0.156666667,0.147857143,0.183529412,0.173125,0.127272727,0.175714286,0.17875,0.150769231,0.188125,0.174705882,0.139411765,0.170526316,0.172222222,0.17,0.134545455,0.196111111,0.15625,0.173571429,0.166428571,0.177272727,0.190833333,0.171538462,0.16,0.156666667,0.129230769,0.168571429
Boron,0.000283333,0.00026,0.000255,0.000256,0.000234286,0.000215833,0.000228,0.000225,0.000287778,0.000273333,0.000251429,0.000298333,0.000221667,0.000247273,0.000228,0.000273333,0.000248,0.000232857,0.000249286,0.000276,0.000263333,0.000281176,0.000228824,0.000242308,0.000260769,0.000285333,0.000288182,0.000249286,0.000303333,0.000334167,0.000325455,0.000268938,0.000299167,0.000294417,0.000233,0.000239231,0.000262308,0.000312143,0.0002675,0.00029,0.000256364,0.000264375,0.000249333,0.00028,0.000263333,0.0002749,0.000260625,0.0002975,0.000294615,0.000264375,0.000301,0.000244545,0.000264167,0.000247857,0.0003175,0.000246923,0.000266429,0.000251765,0.000329167,0.000230833,0.000255714,0.000293571,0.000272,0.000227222,0.000284286,0.000271538,0.000294167,0.000295625,0.000282222,0.000285714,0.000271538,0.000275333,0.00027875,0.000274375,0.000321429,0.000282667,0.000287143,0.000315294,0.000273125,0.000279091,0.000269286,0.00030375,0.000300769,0.000285,0.000284118,0.000319412,0.000305263,0.000277778,0.000275,0.000304545,0.000297222,0.00030375,0.000347571,0.000277857,0.000275455,0.000255833,0.000303846,0.00029,0.00025,0.000233846,0.000324286
Calcium,2.547777778,2.087142857,2.141666667,1.86,1.075714286,1.715833333,1.356,2.284166667,1.698888889,1.6125,1.875714286,2.4925,1.370833333,1.701818182,1.871,1.964,1.889333333,2.718571429,2.176428571,2.036,2.14,2.269411765,1.969882353,2.387692308,2.119230769,2.045333333,2.234545455,1.714285714,2.278333333,2.343333333,2.12,2.03875,1.871666667,1.891666667,2.039,2.138461538,2.439230769,2.477142857,2.28375,2.773076923,1.882727273,2.055,2.144,2.107333333,1.600833333,1.936,1.964375,2.274166667,2.255384615,1.673125,2.063,2.102727273,2.365,1.845714286,2.37,2.104615385,1.836571429,1.962352941,2.148333333,1.98,2.048571429,2.311428571,2.200666667,1.908888889,1.835714286,2.065384615,1.835833333,1.62375,1.958888889,1.877857143,2.26,2.052666667,1.76,2.12375,2.263571429,1.873333333,1.777142857,2.14,2.09625,2.324545455,2.241428571,2.063125,2.673846154,2.005625,2.295882353,2.204117647,2.442105263,2.052388889,2.159166667,2.262727273,2.301111111,2.469375,2.369285714,2.39,1.679090909,1.735833333,1.886923077,2.186428571,1.651666667,1.731538462,2.35
Magnesium,0.778888889,0.602142857,0.766666667,0.612,0.36,0.52,0.426,0.661666667,0.671111111,0.5675,0.562857143,0.675833333,0.363333333,0.491818182,0.547,0.560666667,0.61,0.784285714,0.619285714,0.662,0.639166667,0.635882353,0.578823529,0.64,0.625384615,0.608666667,0.703636364,0.542142857,0.6325,0.76,0.775454545,0.673125,0.774166667,0.7,0.734,0.718461538,0.552307692,0.728714286,0.696875,0.813846154,0.597727273,0.78,0.811333333,0.736666667,0.444166667,0.719,0.69375,0.633333333,0.751538462,0.59875,0.677,0.572727273,0.836666667,0.547142857,0.711666667,0.611538462,0.658571429,0.617647059,0.59,0.61,0.626428571,0.692857143,0.666666667,0.545555556,0.505,0.665384615,0.68,0.519375,0.647777778,0.617142857,0.710769231,0.708,0.531875,0.809375,0.707142857,0.557333333,0.656428571,0.684117647,0.6625,0.611818182,0.772857143,0.60875,0.841538462,0.6575,0.687647059,0.636470588,0.780526316,0.662777778,0.643333333,0.715454545,0.728333333,0.770625,0.812142857,0.847857143,0.488181818,0.76,0.686923077,0.679285714,0.51,0.546153846,0.555
Manganese,0.020915556,0.020720714,0.021541667,0.02328,0.020314286,0.020796667,0.02094,0.02403,0.013844444,0.015321667,0.022725,0.015650083,0.016614167,0.013266091,0.0178141,0.019905667,0.0130524,0.020699929,0.016493071,0.020303067,0.023410833,0.016564353,0.021406353,0.016654462,0.022695923,0.0178922,0.017306636,0.019745714,0.01813,0.019525,0.015200909,0.01776025,0.023147583,0.017221833,0.0134794,0.014390615,0.013727692,0.020274571,0.0178145,0.014472462,0.025484545,0.014071375,0.017611267,0.014356267,0.019089,0.0091318,0.018593563,0.023484417,0.019358692,0.018665188,0.0178127,0.018799364,0.017883167,0.019956714,0.01535025,0.010789538,0.021962071,0.013138941,0.0193525,0.012551167,0.011913571,0.015974571,0.017603333,0.016088889,0.0172815,0.018849392,0.016606417,0.016102875,0.017047778,0.013295714,0.016943077,0.017511,0.015527625,0.014511125,0.019012929,0.014737067,0.014333929,0.019114765,0.019730625,0.016427182,0.019542143,0.020044188,0.014120077,0.014875875,0.016422941,0.017208941,0.017092105,0.015826444,0.01878,0.021634818,0.015958111,0.015679813,0.018638143,0.017845857,0.017622727,0.01402,0.017659077,0.009378214,0.0080375,0.012405077,0.008141429
